mobile_id	batch
1a25c4b957038e3e7549e3a78e7cfd7b	bc_d2_n8_01_yd
3dae976fe467079d6d7e8a9da38b05a0	bc_d2_n8_11_yd
4d3699fc06feb155b3563ff7237da227	bc_d2_n8_11_yd
6a0ab3315679e71c553f7b0a380dd029	bc_d2_n8_11_yd
0275275645dc88dc1ef689f6e693387a	bc_d2_n8_11_yd
f3811da6804c675e11ea6144105a9d56	bc_d2_n8_11_yd
29685a0d5e275cd31480a49cc95fb7d4	bc_d2_n8_11_yd
17e59799de18576bfcbcf7d4c5624650	bc_d2_n8_11_yd
3ec6de6cbbdd234f1803b4e8a7ff3a7f	bc_d2_n8_11_yd
07e10ee13658ceeb48c0c61923b00687	bc_d2_n8_11_yd
a48328c0ce463ec4f2d854a179d17090	bc_d2_n8_11_yd
22221a3779682d2d517b395930293886	bc_d2_n8_08_yd
48379d9c17a7c4eb460399c2b61d4f0e	bc_d2_n8_08_yd
02e86df3fe9f3da07d1fd21954c8b0dc	bc_d2_n8_08_yd
c6425e789dc47680d87c8c533d90d576	bc_d2_n8_08_yd
7e33cae76d2bb21cd70143771dcb33f8	bc_d2_n8_08_yd
652793e6df0e2d4589145913339a3a27	bc_d2_n8_08_yd
e151f10040ee42ab0ece8aafc6cb4081	bc_d2_n8_08_yd
900b9159b4d67703ca7933257c5d3561	bc_d2_n8_08_yd
7dcfa348da271822ef1a662fcb68735e	bc_d2_n8_08_yd
a08d950de94414af5ccb542ce3e4a0c0	bc_d2_n8_08_yd
c1a3ef58c4023a2502d95620d64cc8b9	bc_d2_n8_08_yd
9df30b7d72a01505bea2f592879feff3	bc_d2_n8_08_yd
7c6e094032aff98a434afd88941454c0	bc_d2_n8_08_yd
ee69e7667a1f15ea663245dcf965a4c5	bc_d2_n8_08_yd
75a64c7a5f32725f6ec833b6f9f05c15	bc_d2_n8_08_yd
f5409116f51dfc8243ef357bc5aaffd3	bc_d2_n8_08_yd
fd78c4692ca121278722a9c0b84da9a4	bc_d2_n8_08_yd
6f30819c5541b945e476537c4257d867	bc_d2_n8_08_yd
b17c31d51fc94d1487a5a41cdd5b3958	bc_d2_n8_08_yd
19b055ceb4c466ffe250527bd3652c6b	bc_d2_n8_08_yd
ad16b7c5ee2d420136f99c68db5d2d7b	bc_d2_n8_08_yd
b3d22dddd3600fcfc83459a5bccaa6bb	bc_d2_n8_08_yd
5164f5c3306d4ab7a812b92366d2f0ca	bc_d2_n8_08_yd
3e9d99cb2db45bbe628811cbb1a4a61d	bc_d2_n8_08_yd
daaba5ed06cef062dc0c91dffcf6921f	bc_d2_n8_08_yd
22f124ff356e5f778950073cf0b082bf	bc_d2_n8_08_yd
a4ae83b5ef471e8484cf722664309034	bc_d2_n8_08_yd
e65195c8526c321745bde3fba1435ad8	bc_d2_n8_08_yd
780be2b940cac8ff60e0c0370eb121cc	bc_d2_n8_08_yd
9788537909ef268ff3bb95d41ff8a262	bc_d2_n8_05_yd
563310f96e16638d5640c476ff22ed8c	bc_d2_n8_05_yd
5aabae01a5f436bc959576df07c6ec3c	bc_d2_n8_05_yd
8c5f6b23827e761599209ae08872e3ac	bc_d2_n8_05_yd
899e40f3288856a5c65620f6ea750d59	bc_d2_n8_05_yd
d7e85dd523e57daab2a910452df613b9	bc_d2_n8_05_yd
d7c7dd1e5ead6fe3a0a277862275e1fb	bc_d2_n8_05_yd
538f376d9822f3cb7a94bfc0d95e79c7	bc_d2_n8_05_yd
3bb499adca3ece359b38dd3fb41b4d14	bc_d2_n8_05_yd
cb6c357e1a7ceefa08c58be8cdb21bb1	bc_d2_n8_05_yd
2e3c50cad353b5c10ae0ab6f4c270891	bc_d2_n8_05_yd
8c3dc7ba104347b46e15bfefda4147a8	bc_d2_n8_05_yd
3e76bc1a7f8c58dd7a77a103806635e0	bc_d2_n8_05_yd
8befbbb7fa789780f819e62f8ddcb394	bc_d2_n8_05_yd
babe19dbdf97adf5a1ba68c8d5441307	bc_d2_n8_05_yd
f4f3b422db25f843ff2f29d5a9ad8ee3	bc_d2_n8_05_yd
6124ee2fb2bf2051f34242c41b0b76d9	bc_d2_n8_05_yd
2b2e3cd383acc9b05c46d313d193bec5	bc_d2_n8_05_yd
b059ca6c6e42d30ad193e9a99eb483c6	bc_d2_n8_05_yd
6a13f3f070c0174e24f3f5e0519b6d92	bc_d2_n8_05_yd
afff80204fd5b832442bfbe8d982621b	bc_d2_n8_05_yd
187c8d506396eb2df4cf77d433eae813	bc_d2_n8_05_yd
0071f68c1054e3c7c2fc5cfa8e7ba334	bc_d2_n8_05_yd
4df36c20612d1e33a13fbdbca03050fa	bc_d2_n8_05_yd
257b0d35a451442bd5879feda89ae7ac	bc_d2_n8_05_yd
0c1f87ae2b927dee7bd434dcffc8672a	bc_d2_n8_04_yd
bdf7c1d53f0879099c7941728982adc8	bc_d2_n8_04_yd
d650b42c5a3689000de796d4f7fcb2e1	bc_d2_n8_07_yd
4eb5b234b38c0d8f96e627ec249df409	bc_d2_n8_07_yd
a64b1d03ddc75dd11bb8228d96b4f019	bc_d2_n8_07_yd
3584f54a4930d3f49c3185703a2658ad	bc_d2_n8_07_yd
